,image,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,Team,draft_age,year,draft_pick,,drop,yacpcnum,yacpc,adotnum,adot,tpmtnum,tpmt,ccnum,cc,mannum,man,pffnum,pff,yprr_p,yprr,,tprr_p,tprr,open_p,open,catch_p,name,catch,yac,yac_p,draft_agep,htp,ht,wtp,wt,dashp,dash,vertp,vert,broadp,broad,conep,cone,shuttlep,shuttle,rasp,ras,breakoutagep,breakout_age,best_ppg ,hs,freshr,freshrp,freshy,freshyp,fresht,freshtp,sophr,sophrp,sophy,sophyp,sopht,sophtp,junr,junrp,juny,junyp,junt,juntp,senr,senrp,seny,senyp,sent,sentp,senrr,senrrp,senrry,senrryp,senrrt,senrrtp,best_ppgp,years_removed,adp,adpp
33,https://www.playerprofiler.com/wp-content/uploads/2019/02/hunter-renfrow.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/1200px-Clemson_Tigers_logo.svg.png,Clemson,23.3,2019,149,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.028,1.66,,0.176,0.21,0.199,72,0.816,Hunter Renfrow,96,49,0.092,0.073,0.19,5102,0.252,184,0.083,4.58,0.295,35,0.054,116,0.822,6.8,0.68,4.19,0,2.91,0.167,21.7,9.42,5,0,0,0,0,0,0,10.7,0.282,13,0.31,16.7,0.465,14.2,0.213,13.5,0.156,18.2,0.298,19.5,0.303,18.3,0.202,17.6,0.191,15,0.069,13,0.034,2.7,0,0.716,"2,3",43,0.172
38,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/George-Pickens-WR-Georgia.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/1200px-Georgia_Athletics_logo.svg.png,Georgia,20.8,2022,52,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.458,2.35,,0.401,0.24,0.83,98,0.957,George Pickens,100,46,0.078,0.949,0.862,6032,0.426,195,0.469,4.47,0.074,33,0.527,125,,-,,-,0.796,9.35,0.928,18.5,9.35,3,19.2,0.887,23.3,0.894,30.8,0.93,25.2,0.824,25.7,0.704,39.5,0.894,7.1,0.092,10.6,0.106,0,0,,0,,0,,0,,,,,,,0.707,"1,2",13,0.733
35,https://www.playerprofiler.com/wp-content/uploads/2022/08/Darnell-Mooney.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Tulane_Green_Wave_logo.svg/1200px-Tulane_Green_Wave_logo.svg.png,Tulane,22.5,2020,173,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.493,2.39,,0.401,0.24,0.631,92,0.078,Darnell Mooney,43,86,0.461,0.299,0.181,5101,0.087,176,0.813,4.38,0.6,37,0.398,124,,-,,-,0.311,7.03,0.63,19.9,9.12,4,29.3,0.979,26.2,0.93,27.8,0.88,27.4,0.88,34,0.894,36.4,0.852,31.8,0.879,41.8,0.943,53.3,0.965,24.4,0.584,26.6,0.506,26.3,0.382,,,,,,,0.698,"1,2",45,0.129
37,`https://b.fssta.com/uploads/application/nfl/headshots/14996.vresize.350.350.medium.28.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/2317px-Auburn_Tigers_logo.svg.png,Auburn,22.2,2019,171,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.176,2,,0.176,0.21,0.333,83,0.092,Darius Slayton,44,92,0.645,0.401,0.603,6010,0.365,190,0.74,4.39,0.895,40.5,0.935,135,0.507,7,0.76,4.15,0.699,8.91,0.348,20.7,8.73,4,0,0,0,0,0,0,15.6,0.472,24.6,0.676,15.9,0.458,14.5,0.234,25,0.489,30.3,0.589,17.8,0.202,27.4,0.539,28.4,0.461,,,,,,,0.69,"1,2",45,0.129
36,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Drake-London-WR-USC.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/686px-USC_Trojans_logo.svg.png,USC,20.5,2022,8,,0.23,5.2,0.25,9.2,0.141,4,0.836,65.4,0.938,87.4,0.891,91.8,0.953,0.444,2.32,,0.31,0.23,0.22,73,0.759,Drake London,94,96,0.773,1,0.914,6037,0.852,219,,-,,-,,-,,-,,-,,-,0.986,18.1,8.58,3,10.7,0.662,13,0.718,14.3,0.718,18.5,0.627,26.1,0.725,17.6,0.5,41.5,0.965,45.5,0.979,48.6,0.915,,0,,0,,0,,,,,,,0.672,"1,2",3,0.966
39,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/5121573.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/1200px-Tennessee_Volunteers_logo.svg.png,Tennessee,21.5,2021,77,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0,1.42,,0.014,0.18,0.092,59,0.617,Josh Palmer,91,41,0.035,0.657,0.647,6012,0.73,210,0.271,4.51,0.189,34,0.527,125,0.534,6.98,0.56,4.24,0.417,7.59,0.29,21,8.58,4,1.2,0.296,2.2,0.338,0,0,13.1,0.394,20.5,0.514,13.3,0.359,17,0.333,15.9,0.206,5.3,0.085,18.9,0.281,23.7,0.326,28.6,0.472,,,,,,,0.672,"2,3",26,0.422
40,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4372414.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,Ole Miss,21,2021,34,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.725,2.75,,0.901,0.3,0.887,99,0.887,Elijah Moore,98,90,0.589,0.905,0.129,5094,0.113,178,0.854,4.35,0.421,36,0.172,121,0.918,6.65,0.96,4,0.66,8.69,0.725,19.4,8.08,3,14,0.796,10.5,0.641,10.1,0.634,36.4,0.958,36.8,0.937,54.5,0.993,45.3,0.986,43.2,0.957,33.3,0.66,,0,,0,,0,,,,,,,0.664,"1,3",16,0.672
43,https://b.fssta.com/uploads/application/nfl/headshots/21504.vresize.350.350.medium.18.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Florida_Gators_gator_logo.svg/1200px-Florida_Gators_gator_logo.svg.png,Florida,23.7,2020,57,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.077,1.79,,0.176,0.21,0.362,84,0.73,Van Jefferson,93,69,0.22,0.015,0.69,6014,0.478,200,,-,,-,,-,,-,,-,,-,0.094,22.1,7.5,5,0,0,0,0,0,0,17,0.535,14.5,0.366,11.1,0.268,17.9,0.397,13.9,0.163,8.3,0.135,19.1,0.292,21.4,0.258,24.8,0.326,15.5,0.138,16.8,0.138,18.2,0.241,0.647,"2,3",33,0.302
42,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Romeo-Doubs-WR-Nevada.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Nevada_Wolf_Pack_logo.svg/1200px-Nevada_Wolf_Pack_logo.svg.png,Nevada,21.7,2022,132,,0.689,4,0.141,13.8,0.656,8,0.311,60,0.828,76.6,0.594,83.3,0.641,0.401,2.25,,0.31,0.23,0.227,75,0.759,Romeo Doubs,94,82,0.362,0.533,0.741,6017,0.496,201,,-,,-,,-,,-,,-,,-,0.725,19.4,7.5,4,14.6,0.81,15.9,0.782,8,0.57,16.9,0.521,23.7,0.627,33.1,0.775,23.2,0.582,34.9,0.844,33.3,0.66,24,0.539,29.1,0.629,34.5,0.596,,,,,,,0.647,"1,2",28,0.397
44,https://www.maddenratings.com/wp-content/uploads/laviska-shenault-jr.png,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Colorado_Buffaloes_logo.svg/1200px-Colorado_Buffaloes_logo.svg.png,Colorado,21.5,2020,42,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.958,3.39,,0.972,0.34,0.887,99,0.426,Laviska Shenault Jr.,81,97,0.816,0.657,0.517,6005,0.957,227,0.063,4.58,,-,,-,,-,,-,0.301,6.97,0.594,19.9,7.46,3,4.9,0.458,9.2,0.606,0,0,42.3,0.993,45.1,0.993,41.7,0.93,23.9,0.631,29.2,0.667,24.2,0.433,,0,,0,,0,,,,,,,0.638,"1,2",18,0.621
41,https://www.si.com/.image/t_share/MTgyMTAxMDUyMTczMDY3Mzk1/i.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/1200px-Penn_State_Nittany_Lions_logo.svg.png,Penn State,21.8,2022,16,,0.918,5.3,0.313,11.3,0.422,10.1,0.23,66.1,0.953,66.1,0.25,87.2,0.828,0.254,2.11,,0.239,0.22,0.738,95,0.816,Jahan Dotson,96,90,0.589,0.533,0.233,5105,0.113,178,0.615,4.43,0.421,36,0.172,121,0.123,7.28,,-,0.233,6.33,0.254,21.2,7.34,4,10.3,0.627,11.6,0.676,0,0,12.4,0.359,17,0.458,20,0.514,28.1,0.787,38.4,0.894,47.1,0.894,33.9,0.921,37.2,0.865,52.6,0.933,,,,,,,0.629,"1,2",11,0.819
49,https://www.si.com/.image/t_share/MTkzODEwNDk4ODIxNTYzODg4/stanford-wr-michael-wilson.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/304px-Stanford_Cardinal_logo.svg.png,Stanford,22.9,2023,94,,0,6.9,0.734,10.4,0.234,14.5,0.098,50,0.5,62.3,0.156,72,0.156,0.07,1.77,,0.176,0.21,0.007,45,0.234,Michael Wilson,67,71,0.234,0.168,0.741,6017,0.791,213,0.063,4.58,0.632,37.5,0.527,125,0.808,6.81,0.44,4.27,0.854,9.55,0.667,19.5,7.31,5,6.7,0.528,4.6,0.451,4.5,0.5,20.4,0.676,21.4,0.542,27.8,0.697,19.6,0.454,34.8,0.837,20.8,0.376,23.9,0.528,21.5,0.27,0,0,18.9,0.241,27.4,0.483,51.3,0.966,0.621,1,37,0.276
46,https://www.si.com/.image/t_share/MTkwMzU2NTE2MTg2ODkxNjY4/north-carolina-wr-josh-downs.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/North_Carolina_Tar_Heels_logo.svg/1200px-North_Carolina_Tar_Heels_logo.svg.png,North Carolina,21.4,2023,79,,0.869,4,0.141,8.8,0.094,13.4,0.131,72.2,0.969,92.1,1,86.5,0.797,0.535,2.5,,0.732,0.27,0.794,97,0.589,Josh Downs,90,74,0.27,0.723,0.069,5086,0.052,171,0.375,4.48,0.705,38.5,0.849,131,0.863,6.75,0.76,4.15,0.709,8.99,0.79,19.1,7.24,3,3.4,0.394,3.9,0.401,11.5,0.676,43,1,40.1,0.972,30.8,0.754,34.8,0.929,30.3,0.709,37,0.752,,0,,0,,0,,,,,,,0.612,1,21,0.526
47,https://static.www.nfl.com/image/private/t_headshot_desktop/league/zk2f2ivzdssgoaamf57u,https://upload.wikimedia.org/wikipedia/commons/1/13/Official_USF_Bulls_Athletic_Logo.png,South Florida,23.5,2018,174,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.43,2.31,,0.521,0.25,0.199,72,0.043,Marquez Valdes-Scantling,36,43,0.057,0.015,0.931,6040,0.643,206,0.813,4.37,0,30.5,0.398,124,,-,,-,0.767,9.26,0.029,22.9,7.22,5,15.1,0.831,16.7,0.803,0,0,14.2,0.423,14,0.352,6.2,0.211,0,0,0,0,0,0,11.6,0.112,16.7,0.135,22.7,0.247,27,0.655,29.4,0.552,24,0.483,0.603,"3,4",40,0.198
48,https://profootballdraft.com/wp-content/uploads/2020/05/RashodBateman.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Minnesota_Golden_Gophers_logo.svg/1200px-Minnesota_Golden_Gophers_logo.svg.png,Minnesota,21.3,2021,27,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.803,2.89,,0.901,0.3,0.83,98,0.426,Rashod Bateman,81,97,0.816,0.774,0.466,6003,0.365,190,0.573,4.43,0.421,36,0.323,123,0.63,6.95,0.213,4.35,0.466,8.04,0.862,18.8,7.06,3,27.6,0.965,26,0.923,30,0.908,28.4,0.887,37.1,0.944,36.7,0.866,47.1,1,48.9,0.993,40,0.794,,0,,0,,0,,,,,,,0.595,"1,2",12,0.767
45,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4430878.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,Ohio State,20.9,2023,20,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.944,3.32,,0.62,0.26,0.95,100,0.759,Jaxon Smith-Njigba,94,95,0.738,0.905,0.517,6005,0.443,196,0.229,4.52,0.295,35,0.527,125,0.973,6.57,1,3.93,0.544,8.34,0.667,19.6,6.94,3,5.2,0.465,3.3,0.373,5.5,0.514,27.2,0.852,32.4,0.852,19.6,0.507,0,0,0,0,0,0,,0,,0,,0,,,,,,,0.586,1,6,0.957
56,https://www.si.com/.image/t_share/MTgzNDMwNjE5MTYwNjUwNzkw/i.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kentucky_Wildcats_logo.svg/1200px-Kentucky_Wildcats_logo.svg.png,Kentucky,21,2022,43,,0.525,5.8,0.375,10.4,0.234,4.73,0.689,52.9,0.609,89.2,0.953,90.9,0.922,0.845,2.96,,0.951,0.33,0.887,99,0.567,Wan'Dale Robinson,89,90,0.589,0.876,0.026,5080,0.113,178,0.531,4.44,0.221,34.5,0.075,118,0.521,6.99,0.827,4.13,0.379,7.35,0.884,18.7,6.81,3,24.7,0.923,21.3,0.866,20,0.81,31.9,0.93,30.3,0.824,20,0.514,43.3,0.972,45.5,0.979,29.2,0.56,,0,,0,,0,,,,,,,0.578,"1,2",22,0.526
50,https://bloximages.chicago2.vip.townnews.com/newsandtribune.com/content/tncms/assets/v3/editorial/0/c6/0c660d86-fee0-11eb-aa59-2b59fb7fc548/611ae47bddd8e.image.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/1200px-Purdue_Boilermakers_logo.svg.png,Purdue,20.8,2021,49,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.669,2.63,,0.944,0.32,0.887,99,0.858,Rondale Moore,97,98,0.858,0.985,0,5070,0.165,181,0.896,4.32,0.989,42.5,0.71,128,0.89,6.68,0.867,4.1,0.786,9.33,0.964,18.2,6.77,3,34.5,1,31.5,0.993,44.4,0.993,27,0.845,31.2,0.831,20.8,0.542,39.8,0.95,29.1,0.66,0,0,,0,,0,,0,,,,,,,0.569,"1,2",13,0.733
51,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4035004.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/1200px-Georgia_Athletics_logo.svg.png,Georgia,21.1,2019,56,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.606,2.55,,0.521,0.25,0.702,94,0.071,Mecole Hardman,41,93,0.681,0.861,0.19,5102,0.287,187,0.896,4.33,0.516,36.5,0.108,119,,-,,-,0.524,8.31,0.471,20.4,6.72,3,0,0,0,0,0,0,13.4,0.401,15.7,0.415,16.7,0.465,14.5,0.234,20.6,0.34,22.9,0.411,,0,,0,,0,,,,,,,0.56,"1,2",16,0.672
62,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Dontayvion-Wicks-WR-Virginia.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Virginia_Cavaliers_logo.svg/800px-Virginia_Cavaliers_logo.svg.png,Virginia,21.5,2023,159,,0,4.1,0.188,14.6,0.828,3.75,0.869,21.4,0.031,57.8,0.031,58.8,0,0.493,2.39,,0.401,0.24,0.518,89,0.135,Dontayvion Wicks,57,72,0.248,0.62,0.672,6013,0.643,206,0.021,4.62,0.758,39,0.828,130,0.671,6.91,0.627,4.2,0.748,9.17,0.507,20.2,6.67,4,3.1,0.359,1.2,0.268,5.5,0.514,0,0,0,0,0,0,16.4,0.305,25.6,0.539,29,0.553,16.2,0.157,24.3,0.348,35.7,0.674,,,,,,,0.552,1,50,0.034
52,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3050487.png,https://upload.wikimedia.org/wikipedia/en/4/45/Memphis_Tigers_logo.svg,Memphis,23.5,2018,61,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.972,3.47,,0.986,0.36,0.766,96,0.113,Anthony Miller,50,54,0.163,0.015,0.293,5111,0.496,201,,-,,-,,-,,-,,-,0.777,9.27,0.138,21.9,6.61,5,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0.305,18.8,0.262,18.1,0.291,31.4,0.888,36.2,0.831,41.2,0.798,31.4,0.862,34.5,0.793,46.2,0.862,0.543,"1,2",20,0.578
53,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3915823.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/1200px-Texas_Tech_Athletics_logo.svg.png,Texas Tech,21.2,2018,103,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.88,3.09,,0.62,0.26,0.702,94,0.617,Keke Coutee,91,89,0.553,0.818,0.164,5096,0.165,181,0.573,4.43,0.221,34.5,0.032,113,0.671,6.93,0.707,4.15,0.136,5.64,0.37,20.6,6.59,3,4.5,0.451,6.8,0.493,0,0,12.9,0.387,16.2,0.43,14.9,0.401,26.3,0.738,32.9,0.759,28.6,0.532,,0,,0,,0,,,,,,,0.534,"1,2",38,0.267
54,https://sportshub.cbsistatic.com/i/sports/player/headshot/2146188.png?width=160,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Oklahoma_State_University_system_logo.svg/1200px-Oklahoma_State_University_system_logo.svg.png,Oklahoma State,22,2018,60,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.986,3.48,,0.732,0.27,0.887,99,0.957,James Washington,100,51,0.106,0.489,0.276,5110,0.791,213,0.177,4.54,0.221,34.5,0.118,120,0.288,7.11,0.333,4.32,0.126,5.56,0.964,18.4,6.32,4,13.6,0.775,15.7,0.775,33.3,0.951,16.4,0.507,23.7,0.627,28.6,0.718,24.1,0.652,32.9,0.759,34.5,0.716,22.8,0.427,30.7,0.674,35.1,0.64,,,,,,,0.526,"2,3",18,0.621
55,https://www.playerprofiler.com/wp-content/uploads/2016/02/parris-campbell.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,Ohio State,22.1,2019,59,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.972,3.47,,0.972,0.34,0.887,99,0.163,Parris Campbell,61,99,0.922,0.438,0.397,5117,0.609,205,0.948,4.31,0.853,40,0.935,135,,-,0.96,4.03,0.913,9.76,0.993,18.1,6.31,4,0,0,0,0,0,0,1.1,0.106,2.2,0.12,0,0,15,0.255,17.1,0.22,8.1,0.128,22.8,0.427,20.8,0.236,23.5,0.281,,,,,,,0.517,"3,4",11,0.802
57,https://profootballdraft.com/wp-content/uploads/2020/10/Toney.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Florida_Gators_gator_logo.svg/1200px-Florida_Gators_gator_logo.svg.png,Florida,22.1,2021,20,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.62,2.56,,0.401,0.24,0.447,87,0.355,Kadarius Toney,76,100,0.95,0.438,0.362,5115,0.391,193,0.781,4.38,0.8,39.5,0.978,136,0.712,6.88,0.613,4.23,0.709,8.99,0.167,21.6,5.89,4,11.9,0.746,10.6,0.648,0,0,12.5,0.373,10.1,0.261,3.8,0.162,5.9,0.078,9.2,0.099,5.7,0.099,23.7,0.506,23.7,0.326,23.9,0.303,,,,,,,0.509,"1,2",18,0.595
59,https://www.playerprofiler.com/wp-content/uploads/2021/04/Quintez-cephus.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Wisconsin_Badgers_logo.svg/1200px-Wisconsin_Badgers_logo.svg.png,Wisconsin,22,2020,166,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.923,3.18,,0.866,0.29,0.95,100,0.858,Quintez Cephus,97,82,0.362,0.438,0.586,6007,0.53,202,0,4.73,0.705,38.5,0.398,124,0.205,7.2,0.307,4.33,0.068,4.51,0.493,20.4,5.5,4,1.2,0.296,2,0.324,0,0,20.5,0.69,26.1,0.725,33.3,0.782,0,0,0,0,0,0,24,0.539,31.1,0.685,38.9,0.764,,,,,,,0.5,"1,2",45,0.103
60,https://a.espncdn.com/combiner/i?img=/i/headshots/recruiting/ncf/players/full/190661.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/1280px-Texas_Longhorns_logo.svg.png,Texas,22.6,2020,59,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.092,1.86,,0.07,0.19,0.035,51,0.617,Devin Duvernay,91,87,0.489,0.241,0.216,5104,0.478,200,0.74,4.39,0.347,35.5,0.323,123,0.247,7.13,0.627,4.2,0.437,7.86,0.123,22,5.47,4,10,0.62,16.3,0.796,16.7,0.775,4.9,0.176,6,0.169,0,0,13.4,0.177,15.3,0.184,14.3,0.206,34.8,0.933,34.5,0.809,28.1,0.449,,,,,,,0.491,"2,3",39,0.233
63,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4240380.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/1200px-Penn_State_Nittany_Lions_logo.svg.png,Penn State,20.8,2020,46,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.38,2.23,,0.239,0.22,0.553,90,0.128,K.J. Hamler,56,84,0.411,0.927,0.052,5085,0.113,178,,-,,-,,-,,-,,-,,-,0.79,19.2,5.31,3,0,0,0,0,0,0,20.5,0.69,26,0.711,23.8,0.599,25.8,0.716,31.4,0.723,32,0.631,,0,,0,,0,,,,,,,0.483,"1,2",30,0.362
64,https://yardsperfantasy.com/wp-content/uploads/2022/01/AB1F7897-5AFE-4DF6-9BFA-08357D09B4DE.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cincinnati_Bearcats_logo.svg/1200px-Cincinnati_Bearcats_logo.svg.png,Cincinnati,21.7,2022,53,,0.361,3.7,0.094,17.1,0.953,13,0.164,44.8,0.438,81.3,0.75,76.4,0.313,0.296,2.18,,0.127,0.2,0.064,56,0.589,Alec Pierce,90,39,0.028,0.584,0.853,6031,0.757,211,0.667,4.41,0.895,40.5,0.785,129,0.26,7.13,0.44,4.28,0.961,9.83,0.754,19.3,5.18,4,0,0,0,0,0,0,17.8,0.592,25.5,0.683,10.5,0.254,14.4,0.227,22.1,0.39,25,0.44,20.3,0.337,26.2,0.461,21.9,0.225,,,,,,,0.474,"1,2",21,0.526
65,https://static.www.nfl.com/image/private/t_headshot_desktop/league/j35nhxhisutf6pz38fzs,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/1200px-Washington_Huskies_logo.svg.png,Washington,22.3,2018,44,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.627,2.57,,0.951,0.33,0.83,98,0.617,Dante Pettis,91,21,0,0.299,0.483,6004,0.261,186,,-,,-,,-,,-,,-,,-,0.29,20.9,5.17,4,7.2,0.542,9.9,0.62,5.5,0.514,12.2,0.345,13.3,0.324,5.9,0.19,22.5,0.567,24.4,0.475,33.9,0.688,26.3,0.685,26.2,0.461,36.8,0.708,,,,,,,0.466,"1,2",24,0.457
58,"https://footballguys.imgix.net/nfl-player-headshots/AtweTu00.png?auto=format,compress&h=160&trim=color",https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Louisville_Cardinals_logo.svg/1200px-Louisville_Cardinals_logo.svg.png,Louisville,21.4,2021,57,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.627,2.57,,0.521,0.25,0.631,92,0.319,Tutu Atwell,74,94,0.709,0.745,0.095,5087,0,149,0.74,4.39,0.074,33,0.065,117,0.712,6.87,0.867,4.09,0.223,6.25,0.848,18.9,5.07,3,13.7,0.782,19.2,0.852,25,0.866,39.8,0.979,42.4,0.986,40,0.901,17.8,0.376,28.4,0.631,43.2,0.851,,0,,0,,0,,,,,,,0.457,"2,3",31,0.345
61,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Treylon-Burks-WR-Arkansas.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arkansas_Razorbacks_logo.svg/250px-Arkansas_Razorbacks_logo.svg.png,Arkansas,21.8,2022,18,,0.754,9.3,0.969,9.7,0.156,4.64,0.721,43.8,0.406,81.8,0.813,91,0.938,0.789,2.87,,0.521,0.25,0.702,94,0.567,Treylon Burks,89,98,0.858,0.511,0.767,6020,0.922,225,0.135,4.55,0.074,33,0.258,122,0.123,7.28,0.173,4.4,0.146,5.79,0.406,20.5,5,3,15.8,0.852,22.5,0.88,0,0,30.9,0.915,37.9,0.958,38.9,0.88,32.1,0.901,40.1,0.929,52.4,0.957,,0,,0,,0,,,,,,,0.448,"1,2",5,0.966
66,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4241802.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/1280px-TCU_Horned_Frogs_logo.svg.png,TCU,21.3,2020,21,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.225,2.08,,0.62,0.26,0.291,81,0.206,Jalen Reagor,65,67,0.213,0.774,0.233,5105,0.643,206,0.438,4.47,0.968,42,0.989,138,0.11,7.31,0.067,4.46,0.184,6.03,0.884,18.7,4.79,3,11.6,0.732,16.9,0.81,28.6,0.894,30.3,0.908,38.9,0.965,50,0.972,20.3,0.475,25.2,0.511,33.3,0.66,,0,,0,,0,,,,,,,0.44,"1,2",9,0.862
71,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Jameson-Williams-WR-OhioState.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,Alabama,20.8,2022,12,,0.361,9.3,0.969,14.5,0.797,6.5,0.41,33.3,0.188,78,0.641,85.1,0.734,0.542,2.51,,0.07,0.19,0.631,92,0.589,Jameson Williams,90,96,0.773,0.949,0.69,6014,0.148,179,,-,,-,,-,,-,,-,,-,0.449,20.4,4.61,3,2.8,0.345,3.9,0.401,2.7,0.479,5.7,0.19,7.3,0.204,9.1,0.239,21.9,0.546,29.6,0.695,33.2,0.652,,0,,0,,0,,,,,,,0.431,"1,2",6,0.862
